source_table,source_column,target_table,target_column,rule,notes
Fab_Status,fab_id,fabs,id,Direct,Preserve legacy fab_id as PK; reset fabs_id_seq after load. Idempotency key.
Fab_Status,fab_id,business_jobs,name,Transform,Fallback job name if job_name empty: JOB-<fab_id>
Fab_Status,account,accounts,name,Direct,Upsert accounts by name (ix_accounts_name unique). Trim/case-normalize.
Fab_Status,job_number,business_jobs,job_number,Direct,Upsert business_jobs by job_number; FK account_id from accounts map.
Fab_Status,job_name,business_jobs,name,Direct,
Fab_Status,areas,fabs,input_area,Direct,fabs.input_area varchar; store raw areas text.
Fab_Status,areas,business_jobs,description,Transform,Append areas text to job description if present.
Fab_Status,fab_type,fab_type,name,Direct,Upsert fab_type by name.
Fab_Status,fab_type,fabs,fab_type,Direct,fabs.fab_type is varchar (not FK); copy normalized name.
Fab_Status,stone_type,stone_types,name,Direct,Upsert; resolve fabs.stone_type_id via map.
Fab_Status,stone_color,stone_colors,name,Direct,Upsert; resolve fabs.stone_color_id via map (needs stone_type_id parent where possible).
Fab_Status,stone_thickness,stone_thickness,thickness,Direct,Upsert by thickness text; resolve fabs.stone_thickness_id.
Fab_Status,edge,edges,name,Direct,Upsert edges (edge_type defaults to Standard); resolve fabs.edge_id.
Fab_Status,total_sqft,fabs,total_sqft,Transform,"To double precision; strip units/commas; null->0? keep null, flag."
Fab_Status,total_sqft,business_jobs,sq_ft,Transform,"Job sq_ft = SUM(fabs.total_sqft) per job_number, not per-row copy."
Fab_Status,number_pieces,fabs,no_of_pieces,Transform,To integer; non-numeric->null + reject log.
Fab_Status,creation_date,fabs,created_at,Transform,CST->UTC naive; fallback now() if null.
Fab_Status,creation_date,business_jobs,created_at,Transform,MIN(creation_date) per job_number.
Fab_Status,creation_date,business_jobs,start_date,Transform,Date part of MIN(creation_date) per job.
Fab_Status,template_not_needed,fabs,template_needed,Transform,Invert boolean: needed = NOT not_needed. Null->True.
Fab_Status,template_date_scheduled,templatings,schedule_start_date,Transform,One templatings row per fab; schedule_due_date=same or +1d if missing.
Fab_Status,template_completed,templatings,is_completed,Transform,Bool; also fabs.template_received/template_review_complete derivation.
Fab_Status,template_completed,fabs,template_received,Transform,template_received = template_completed OR template_date_completed present.
Fab_Status,template_date_completed,fabs,template_completed_date,Direct,
Fab_Status,template_date_completed,templatings,actual_end_date,Direct,
Fab_Status,template_date_completed_2,fabs,notes,Transform,Archive into fabs.notes JSONB {template_date_completed_2: val}; secondary completion stamp.
Fab_Status,template_by,templatings,technician_id,Transform-Deferred,"Legacy name -> users.id via employee map; leave null, backlog per plan."
Fab_Status,draft_not_needed,fabs,drafting_needed,Transform,Invert boolean.
Fab_Status,pre_draft_review,pre_draft_reviews,draft_notes,Transform,"Create pre_draft_reviews row if any pre_draft field non-empty; draft_notes=concat(pre_draft_review, notes)."
Fab_Status,pre_draft_review_2,pre_draft_reviews,draft_notes,Transform,Append to same row.
Fab_Status,pre_draft_review_completed,pre_draft_reviews,is_completed,Transform,Bool.
Fab_Status,pre_draft_review_completed,fabs,predraft_completed_date,Transform,"If completed and no date, use draft_date_completed fallback; else null."
Fab_Status,draft_notes,draftings,draft_note,Direct,Also copy to fab_notes stage=draft.
Fab_Status,draft_notes,fab_notes,note,Transform,"fab_notes row: stage=draft, created_by=migration user."
Fab_Status,draft_completed,fabs,draft_completed,Direct,Bool.
Fab_Status,draft_completed,draftings,is_completed,Direct,One draftings row per fab.
Fab_Status,draft_date_completed,fabs,draft_completed_date,Direct,
Fab_Status,draft_date_completed,draftings,drafter_end_date,Direct,
Fab_Status,draft_date_completed_2,fabs,notes,Transform,Archive into notes JSONB {draft_date_completed_2}.
Fab_Status,draft_by,draftings,drafter_id,Transform-Deferred,Name->users map; null + backlog.
Fab_Status,draft_clock_complete,fabs,notes,Transform,Archive flag into notes JSONB {draft_clock_complete}; timer truth comes from Draft_Data sessions.
Fab_Status,program_clock_complete,fabs,notes,Transform,Archive into notes JSONB; timer truth from FP_Data.
Fab_Status,been_revised,fabs,revised,Transform,revised = been_revised OR being_revised OR revision_completion_date present.
Fab_Status,being_revised,fabs,revised,Transform,See above; also drives open revisions row if true.
Fab_Status,revision_completion_date,fabs,revision_completed_date,Direct,
Fab_Status,slabsmith_ag_not_needed,fabs,slab_smith_ag_needed,Transform,Invert.
Fab_Status,slabsmith_cust_not_needed,fabs,slab_smith_cust_needed,Transform,Invert.
