"revision_date_completed","fillerblankdate","Account","Edge","StoneThickness","StoneColor","StoneType","Areas","JobName","RevisionReason","FabID","FabType","JobNumber","NumPieces","DraftNotes","DraftCompleted","creation_date","TotalSqft","SalesPerson","Revisor","FileData","RevisionType"
"9/8/2025 4:16:52 PM","","Texas Construction Company","FLAT HONED","5","ABSOLUTE BLACK **TO BE LEATHERED BY ALPHA**","GS","KITCHEN PERIMETER","907 Terrace Mountain Drive","Add 4 holes at kitchen sink. Add 3 pop up outlets (outlet cutouts in backsplash will be removed and pop up outlets will go in the countertop directly under where the previous backsplash outlets were).","14270","1","20562","2","","-1","9/5/2025 3:02:23 PM","30.2","7","15","","3"
"9/8/2025 4:16:45 PM","","Texas Construction Company","FLAT POLISH","5","PATAGONIA","QZ","KITCHEN ISLAND, KITCHEN FULL HEIGHT BACKSPLASH","907 Terrace Mountain Drive","Remove outlet cutouts in backsplash. If possible, please mark on the layout where the hood will hit the backsplash (bottom of hood is 36"" from countertop and top of hood is 41"" from countertop). See me if you have questions.","14269","1","20562","8","","-1","9/5/2025 3:04:51 PM","125.6","7","15","","1"
"9/8/2025 3:47:27 PM","","Miars Construction","FLAT","5","IJEN BLUE","QZ","PRIMARY BATH","5304 Western Hills","Remove pc 4, 5","13903","1","20516","7","also: remove pcs 4 & 5,  But 4, 5 and 7 need to be removed from the drawing & layout.  They are deleting that scope of work.","-1","9/5/2025 4:02:32 PM","37.4","5","6","","1"
"9/9/2025 12:30:20 PM","","Vinson Radke Homes","FLAT POLISH","4","COSMOPOLITAN WHITE","CS","PRIMARY SHOWER NICHE W/ 3 SHELVES","801 W Johanna St","Please correct the shelf thickness to show 3/4"" rather than 1/2""","14339","1","20379","7","","-1","9/8/2025 9:19:50 AM","3.4","7","6","","2"
"9/8/2025 4:29:39 PM","","Vinson Radke Homes","FLAT POLISH","5","BLIZZARD","CS","BATH1 VANITY, BATH 2 VANITY","801 W JOHANNA ST","BATH2: R side depth of cabinet measures 22"". Ctop should read 22 1/8"", not 22 3/16"". Please also confirm faucet has enough clearance with backsplash. Builder has a backup sink selection if needed.","13478","1","20379","6","","-1","9/8/2025 9:22:13 AM","17.3","7","15","","1"
"9/9/2025 10:49:35 AM","","Vinson Radke Homes","MITERED","2","SANDIK","DK","POOL WALL","801 W Johanna St","If we throw the joint off center on the water sheer by 1/4"" we can get the lights closer to the same dimension from the nearest adjacent joint.","14285","1","20379","17","","-1","9/8/2025 9:56:19 AM","287","7","6","","1"
"9/8/2025 4:50:44 PM","","Straight","FLAT HONED","5","CLEARSKIES","CS","OUTDOOR KITCHEN","1408 Circle Ridge","make splash 8"" with 2"" cap","14345","1","20630","5","","-1","9/8/2025 12:15:06 PM","28.5","5","15","","1"
"9/9/2025 8:48:49 AM","","","","","","","","","Please reference the pop up outlet model","14270","1","20562","2","","-1","9/9/2025 7:19:59 AM","30.2","","15","","3"
"9/9/2025 1:36:11 PM","","Vinson Radke Homes","FLAT POLISH","5","BLIZZARD","CS","BATH1 VANITY, BATH 2 VANITY","801 W JOHANNA ST","Remove side splashes - pieces 3 and 6.","13478","1","20379","6","","-1","9/9/2025 7:39:22 AM","17.3","7","15","","3"
"9/12/2025 4:47:09 PM","","Castillo, Sherry","3CM MITERED","5","REGAL ARABESCATO GOLD","quartz","PH 2: BSP AND WINDOW SILL","Castillo-1226 Saddle Club Drive","see email for details -change edge profile to flat, remove added sales notes","14357","1","20614","","","-1","9/10/2025 8:24:49 AM","15.5","6","15","","2"
"9/11/2025 4:19:13 PM","","Waller Building Company, LLC","FLAT","5","SARATOGA LEATHERED","QZ","STUDY","1205 Wilderness","please change material to ""Marble Grey Honed 3cm""","14321","7","20413","1","","-1","9/10/2025 10:50:16 AM","22.5","9","6","","1"
"9/11/2025 3:48:57 PM","","Miars Construction","FLAT HONED","5","TAJ MAHAL HONED","QZ","KITCHEN PERIMETER","5304 Western Hills","Bocci's are singles instead of doubles","13899","1","20516","","","-1","9/10/2025 2:07:22 PM","143","5","6","","3"
"9/11/2025 10:16:30 AM","","Waller Building Company, LLC","MITER TO 2-1/4","5","TAJ MAHAL","QZ","KITCHEN ISLAND","1205 WILDERNESS","""make the miters 1/4 bigger and add 1/4"" rabbit to miter so reveal is 1/4""","14314","7","20413","2","","-1","9/10/2025 2:30:09 PM","48.3","9","6","/1205Wilderness_DD-Model-3_1.pdf","1"
"9/11/2025 4:12:12 PM","","Waller Building Company, LLC","MITER to 2-1/4","4","Cavallion Bouchard Finish","Travertine","Living Room, Dining Room","1205 Wilderness","change material to 3cm Taj Mahal Quartzite - match drop detail on island (make the miters 1/4 bigger and then rabbit out the bottom to get 1/4"" reveal)","14310","7","20413","4","","-1","9/10/2025 2:34:56 PM","36","9","6","/Screenshot 2025-09-10 143436.jpg","1"
"9/11/2025 10:58:14 AM","","","","","","","","","please create detail view on the pencil- client said they wanted the pencil detail to match what they did in bath 1 at 4605 strass (job","14317","7","20413","15","","-1","9/10/2025 3:08:34 PM","27.6","","6","","1"
"9/11/2025 3:25:10 PM","","Crabtree Design Build","FLAT","5","TAJ MAHAL","QZ","RANGE WALL BACKSPLASH","5416 SPRING PRESERVE TRAIL","JOSH: please help attempt a better layout than Markos","14393","1","20399","3","","-1","9/10/2025 10:49:12 PM","42.8","5","6","","3"
"9/22/2025 1:04:34 PM","","ENVE BUILDERS","1 1/2","4","DI ROUGE HONED","MS","POWDER, OFFICE","4207 WATERS EDGE COVE","Change edge profile on drawing to match fab form. Also, are we providing substrate?","14415","1","20567","3","","-1","9/19/2025 9:52:36 AM","47.1","7","12","","3"
"9/23/2025 9:00:43 AM","","Shoberg Homes","","","","","EMILY","302 INWOOD","Were there outlets templated? I don't see them in the template photos. From the builder: There are two outlets on this wall. The outlets are 2’ from each side and 3” above the countertop.","14421","1","20333","2","🤚 - HOLD - NO OUTLETS WERE TEMPLATED, MAY NEED RETEMPLATE","-1","9/19/2025 10:22:42 AM","49.8","","6","","1"
"9/23/2025 10:01:43 AM","","Waller Building Company, LLC","FLAT","4","Arabescato Corchia","MS","PRIMARY BATH SHOWER ACCESSORIES","1205 Wilderness","change depth on pcs 2-6 to 4.75"" and change oh to 3/4"" (plz change install note as well as green text). please remove sales notes","14216","1","20413","6","","-1","9/19/2025 2:47:54 PM","6","9","6","","1"
"9/22/2025 5:07:30 PM","","Waller Building Company, LLC","FLAT","4","ARABESCATO CORCHIA","MS","Primary Bath  Vanity","1205 Wilderness","change overhang on pencil cap to 3/8"". add shop note to polish top","14317","7","20413","15","","-1","9/19/2025 2:51:46 PM","27.6","9","6","","1"
"10/3/2025 9:25:59 AM","","Vitek McIver Homes","3","3","MARMORIO","DK","ODK GRILL AREA","2517 HARTFORD RD","Can the joints be placed where the customer marked up the attachment?","14346","1","20563","12","🤚 HOLD - UNABLE TO OPEN ATTACHED FILE FOR JOINT LOCATIONS","-1","9/19/2025 3:05:06 PM","44.4","7","6","/joint location","1"
"9/22/2025 4:26:16 PM","","Vitek McIver Homes","14","5","SNOWFALL","GS","POWDER","345 PECAN GROVE DRIVE","Please add 1 3/4"" shelf to top of backsplash","14104","1","20408","","","-1","9/19/2025 3:47:58 PM","13","7","15","","1"
"9/22/2025 4:44:01 PM","","Tatanka Group","FLAT","5","FRESH CONCRETE","CS","KITCHEN/ISLAND/PANTRY/MA BA/GUEST BA 1/GUEST BA 2/POWDER/LAUNDRY","1122 Cherry Springs Rd","REMOVE 28","14342","1","20542","28","","-1","9/19/2025 4:38:36 PM","230","6","15","/REV REQ BY BUILDER 20542 - KITCHEN,ISLAND,PANTRY,MA BA,GUEST BA 1,GUEST BA 2,POWDER,LAUNDRY REV2.pdf","3"
"9/23/2025 1:17:38 PM","","Vinson Radke Homes","FLAT POLISH","5","BLIZZARD","CS","BATH1 VANITY, BATH 2 VANITY","801 W JOHANNA ST","Needs to share layout with fab ID 14338","13478","1","20379","6","","-1","9/22/2025 9:22:32 AM","17.3","7","6","","3"
"9/23/2025 1:17:46 PM","","Vinson Radke Homes","FLAT POLISH","5","BLIZZARD","CS","BATH 2 NICHE TOP AND BOTTOM","801 W Johanna St","Needs to share layout with fab ID 13478","14338","1","20379","2","","-1","9/22/2025 9:22:55 AM","3.8","7","6","","3"
"9/23/2025 1:21:29 PM","","Studio Steinbomer","FLAT POLISH","5","CLASSIC CALACATTA","SS","VANITY","10426 Cayuse Cove (2025)","make sink cutout 4"" from front. He will modify cabinet.","14417","1","20674","1","","-1","9/22/2025 4:53:39 PM","13.7","5","6","","1"
"9/24/2025 3:23:57 PM","","Ignite Outdoor Kitchens","FLAT","5","BLACK PEARL","GS","OUTDOOR KITCHEN","4213 Ruby Eleanor Drive","see file for 3 changes","14399","1","20660","2","","-1","9/23/2025 9:56:07 AM","43.6","5","6","/Customer changes 20660 - OUTDOOR KITCHEN-BLOCK (1).pdf","1"
"9/25/2025 10:48:23 AM","","Rauser Construction","MITER","4","CALACATTA MONET HONED","MS","POWDER, OFFICE BATH","3805 Balcones Drive","change drawing","14207","1","20455","12","","-1","9/23/2025 10:29:50 AM","38.5","5","6","/BAL Submittal 034-Rev 1 revise drawing & layout Countertops_250917 - AS Revise and Resubmit 2025-09-22 (1).pdf","1"
"9/25/2025 11:35:23 AM","","Wyeth Custom Homes","FLAT HONED","5","EMPERADOR DARK HONED","MS","WINE LOUNGE TOPS","705 COUNTY RD 360","pull sink as far forward as possible. X's on small tops should be walls.","13413","1","20350","5","","-1","9/23/2025 11:28:39 AM","80.6","5","6","","1"
"9/25/2025 2:30:52 PM","","Shoberg Homes","","","","","EMILY","302 INWOOD","Change outlets per attached file.","14421","1","20333","2","","-1","9/23/2025 1:49:49 PM","49.8","","6","/EMILYS OFFICE COUNTER FHSBSP (MUST INSTALL B4 COUNTER) - REV 1 (sj redline).pdf","1"
"9/25/2025 2:47:54 PM","","Starling Development","1 1/2","3","DOMOOS","DK","POWDER ROOM, ISLAND, AND BEDROOM 2 DESK","1117 Gillespie Place","Island: Change the back overhang from 10 1/8"" to 12"". Decrease overhang on the face, left, and right sides from 1 1/2"" to 1 1/4"".Powder and Desk: Decrease overhang from 1 1/2"" to 1 1/4"".","14398","1","20661","3","","-1","9/23/2025 2:26:48 PM","59.2","15","6","","1"
