Table Name,Column Name,Data Type,Is Nullable,Default Value
accounts,id,integer,NO,nextval('accounts_id_seq'::regclass)
accounts,name,character varying,NO,
accounts,account_number,character varying,YES,
accounts,description,character varying,YES,
accounts,contact_person,character varying,YES,
accounts,email,character varying,YES,
accounts,phone,character varying,YES,
accounts,address,character varying,YES,
accounts,status_id,integer,NO,
accounts,created_at,timestamp without time zone,NO,
accounts,created_by,integer,NO,
accounts,updated_at,timestamp without time zone,YES,
accounts,updated_by,integer,YES,
action_menus,id,integer,NO,nextval('action_menus_id_seq'::regclass)
action_menus,name,character varying,NO,
action_menus,code,character varying,NO,
action_menus,created_at,timestamp without time zone,NO,
action_menus,updated_at,timestamp without time zone,NO,
alembic_version,version_num,character varying,NO,
audit_trails,id,integer,NO,nextval('audit_trails_id_seq'::regclass)
audit_trails,activity_message,character varying,NO,
audit_trails,operation,character varying,YES,
audit_trails,user_id,integer,NO,
audit_trails,resource_type,character varying,YES,
audit_trails,activity_table_name,character varying,YES,
audit_trails,record_id,integer,YES,
audit_trails,changed_fields,json,YES,
audit_trails,old_values,json,YES,
audit_trails,new_values,json,YES,
audit_trails,request_path,character varying,YES,
audit_trails,request_method,character varying,YES,
audit_trails,response_status_code,integer,YES,
audit_trails,device_id,character varying,YES,
audit_trails,ip_address,character varying,YES,
audit_trails,browser,character varying,YES,
audit_trails,created_at,timestamp without time zone,NO,
business_jobs,name,character varying,NO,
business_jobs,job_number,character varying,NO,
business_jobs,account_id,integer,YES,
business_jobs,description,text,YES,
business_jobs,priority,character varying,YES,
business_jobs,start_date,date,YES,
business_jobs,due_date,date,YES,
business_jobs,project_value,numeric,YES,
business_jobs,status_id,integer,NO,
business_jobs,created_by,integer,NO,
business_jobs,sq_ft,double precision,YES,
business_jobs,sales_person_id,integer,YES,
business_jobs,created_at,timestamp without time zone,YES,now()
business_jobs,updated_at,timestamp without time zone,YES,
business_jobs,updated_by,integer,YES,
business_jobs,need_to_invoice,boolean,NO,
business_jobs,invoice_note,character varying,YES,
business_jobs,invoiced_at,timestamp without time zone,YES,
business_jobs,id,integer,NO,nextval('business_jobs_id_seq'::regclass)
cnc_drafting_session_notes,id,integer,NO,nextval('cnc_drafting_session_notes_id_seq'::regclass)
cnc_drafting_session_notes,session_id,integer,NO,
cnc_drafting_session_notes,fab_id,integer,NO,
cnc_drafting_session_notes,action,character varying,NO,
cnc_drafting_session_notes,timestamp,timestamp without time zone,NO,
cnc_drafting_session_notes,note,character varying,YES,
cnc_drafting_session_notes,sqft_drafted,character varying,YES,
cnc_drafting_session_notes,work_percentage_done,integer,YES,
cnc_drafting_session_notes,created_at,timestamp without time zone,NO,
cnc_drafting_sessions,id,integer,NO,nextval('cnc_drafting_sessions_id_seq'::regclass)
cnc_drafting_sessions,fab_id,integer,NO,
cnc_drafting_sessions,drafter_id,integer,NO,
cnc_drafting_sessions,status,character varying,NO,
cnc_drafting_sessions,session_start_time,timestamp without time zone,NO,
cnc_drafting_sessions,session_end_time,timestamp without time zone,YES,
cnc_drafting_sessions,current_pause_start_time,timestamp without time zone,YES,
cnc_drafting_sessions,total_pause_duration,integer,NO,
cnc_drafting_sessions,total_time_spent,integer,NO,
cnc_drafting_sessions,cumulative_sqft_drafted,character varying,YES,
cnc_drafting_sessions,work_percentage_done,integer,NO,
